llm,ratio,accuracy_delta,accuracy_pct_change,f1_macro_delta,f1_macro_pct_change,f1_weighted_delta,f1_weighted_pct_change,precision_macro_delta,precision_macro_pct_change,recall_macro_delta,recall_macro_pct_change,loss_delta,loss_pct_change
-,0pct,,,,,,,,,,,,
llama3.1:latest,10pct,-0.007199999999999984,-0.007911218547412354,-0.01090000000000002,-0.012291384754172328,-0.00770000000000004,-0.008463398549131721,-0.006500000000000061,-0.007295992816253295,-0.014600000000000057,-0.016538287267784387,-0.007300000000000029,-0.022670807453416236
llama3.1:latest,25pct,0.02310000000000001,0.02604284103720407,0.04620000000000002,0.054674556213017776,0.023399999999999976,0.02641679837435084,0.02949999999999997,0.03376831501831498,0.05489999999999995,0.06649709302325575,-0.11709999999999998,-0.2739181286549707
llama3.1:latest,50pct,0.04349999999999998,0.05121865065347931,0.06700000000000006,0.08387581372058095,0.04910000000000003,0.058258186995728566,0.0514,0.06287461773700306,0.07430000000000003,0.09413404282275438,-0.17760000000000004,-0.3464014043300176
llama3.1:latest,75pct,0.129,0.17282958199356915,0.3658,0.7562538763696506,0.18009999999999993,0.25984706391574075,0.41150000000000003,0.895733565520244,0.31899999999999995,0.6221962161107859,-0.3273,-0.47441658211334975
mistral:7b,10pct,-0.005799999999999916,-0.006362439666520312,-0.0046999999999999265,-0.0052838673412028405,-0.006700000000000039,-0.007352134313617952,-0.008199999999999985,-0.009099988902452541,-0.0012999999999999678,-0.0014782806458948918,-0.0030999999999999917,-0.008472260180377129
mistral:7b,25pct,0.013000000000000012,0.01458543700213173,0.031200000000000006,0.036482694106641726,0.0131,0.014712488769092544,0.02070000000000005,0.02354413102820752,0.036699999999999955,0.043820895522388006,-0.0912,-0.2142353770260747
mistral:7b,50pct,0.0464,0.05463322736371128,0.07750000000000001,0.09702053079619431,0.0524,0.06217370669197912,0.05779999999999996,0.07070336391437304,0.0887,0.1123780565057646,-0.16840000000000005,-0.3284571874390482
mistral:7b,75pct,0.129,0.17282958199356915,0.37049999999999994,0.7659706429605125,0.17999999999999994,0.259702784590968,0.40410000000000007,0.8796255986068787,0.3348,0.6530134581626681,-0.29749999999999993,-0.43122191621974193
phi3.5:latest,10pct,-0.0029000000000000137,-0.003181219833260217,-0.0020999999999999908,-0.0023608768971332106,-0.0040000000000000036,-0.00438933391857786,-0.0029000000000000137,-0.0032182887581844563,-0.0007999999999999119,-0.0009097111667044712,-0.0262,-0.07158469945355192
phi3.5:latest,25pct,0.005800000000000027,0.00650734881633572,0.019400000000000084,0.022684752104770913,0.005900000000000016,0.006626235399820324,0.005900000000000016,0.006710646041856252,0.02749999999999997,0.03283582089552235,-0.0761,-0.17876438806671363
phi3.5:latest,50pct,0.05069999999999997,0.05969622041681381,0.08330000000000004,0.10428142213319985,0.05710000000000004,0.06775035595633606,0.06320000000000003,0.0773088685015291,0.09430000000000005,0.11947295071582421,-0.18630000000000002,-0.3633703920421299
phi3.5:latest,75pct,0.13770000000000004,0.18448553054662387,0.37949999999999995,0.78457721728344,0.19009999999999994,0.2742749963930168,0.4055,0.8826730518067045,0.34929999999999994,0.681295104349522,-0.31799999999999995,-0.4609363675895057
